text,g,frequency
Jacob,M,25822
Emily,F,23930
Michael,M,23800
Joshua,M,23242
Matthew,M,21461
Ethan,M,21307
Andrew,M,20722
Emma,F,20335
Daniel,M,20203
Madison,F,19562
Anthony,M,19367
Joseph,M,19199
Christopher,M,19159
William,M,19045
Alexander,M,18110
David,M,18102
Ryan,M,17980
Nicholas,M,17065
Tyler,M,16983
James,M,16121
John,M,15760
Abigail,F,15747
Olivia,F,15691
Isabella,F,15174
Hannah,F,14842
Jonathan,M,14431
Nathan,M,14351
Samuel,M,14246
Christian,M,14197
Noah,M,13889
Dylan,M,13772
Samantha,F,13633
Ava,F,13603
Benjamin,M,13564
Logan,M,13463
Ashley,F,13270
Brandon,M,12941
Gabriel,M,12750
Elizabeth,F,12722
Sophia,F,12667
Zachary,M,12280
Jose,M,12059
Alexis,F,11963
Grace,F,11860
Elijah,M,11604
Sarah,F,11527
Angel,M,10981
Kevin,M,10904
Jack,M,10902
Caleb,M,10887
Alyssa,F,10883
Mia,F,10841
Natalie,F,10729
Justin,M,10505
Robert,M,10149
Austin,M,10108
Evan,M,10103
Thomas,M,10035
Luke,M,10003
Mason,M,9762
Aidan,M,9758
Chloe,F,9586
Jackson,M,9578
Isaiah,M,9515
Jordan,M,9390
Brianna,F,9356
Gavin,M,9335
Connor,M,9318
Lauren,F,9244
Isaac,M,9116
Anna,F,9097
Aiden,M,9080
Ella,F,9062
Taylor,F,8670
Kayla,F,8614
Jason,M,8609
Hailey,F,8587
Cameron,M,8567
Hunter,M,8507
Jayden,M,8251
Juan,M,8226
Jessica,F,8108
Victoria,F,7952
Charles,M,7924
Jasmine,F,7863
Aaron,M,7799
Lucas,M,7572
Luis,M,7461
Sydney,F,7374
Owen,M,7166
Landon,M,7105
Julia,F,7083
Diego,M,6935
Brian,M,6914
Destiny,F,6879
Adam,M,6838
Morgan,F,6747
Adrian,M,6715
Eric,M,6693
Ian,M,6682
Kyle,M,6682
Nathaniel,M,6678
Carlos,M,6558
Kaitlyn,F,6516
Alex,M,6480
Savannah,F,6477
Bryan,M,6453
Katherine,F,6389
Jesus,M,6375
Alexandra,F,6317
Rachel,F,6209
Julian,M,6111
Lily,F,6088
Sean,M,5992
Hayden,M,5916
Carter,M,5898
Kaylee,F,5863
Megan,F,5854
Jeremiah,M,5839
Jennifer,F,5833
Angelina,F,5807
Makayla,F,5722
Allison,F,5632
Maria,F,5592
Cole,M,5586
Brooke,F,5565
Brayden,M,5507
Trinity,F,5447
Wyatt,M,5351
Faith,F,5243
Lillian,F,5210
Chase,M,5195
Mackenzie,F,5192
Sofia,F,5161
Riley,F,5124
Haley,F,5122
Steven,M,5072
Timothy,M,5022
Gabrielle,F,5016
Dominic,M,4989
Nicole,F,4984
Kylie,F,4965
Zoe,F,4957
Sebastian,M,4952
Katelyn,F,4926
Paige,F,4903
Xavier,M,4873
Jaden,M,4847
Gabriella,F,4817
